image_url,temple_name
https://assets.churchofjesuschrist.org/80/34/803458ffc734b02820e223c12de1092dd0f8de70/oquirrh_mountain_utah_mormon_temple.jpeg,Oquirrh Mountain Utah Mormon
https://assets.churchofjesuschrist.org/80/69/80699f418aa75771d3f9793a9965d09448280571/tampico_mexico_temple_lds.jpeg,Tampico Mexico
https://assets.churchofjesuschrist.org/82/50/825014ad7522e9baeadfafbee6ac86a4aecad6e0/aba_nigeria_temple_lds.jpeg,Aba Nigeria
https://assets.churchofjesuschrist.org/82/9b/829bc3e66001826e7e9d377539d2b85e1937a3f2/cardston_alberta_temple_lds.jpeg,Cardston Alberta
https://assets.churchofjesuschrist.org/85/40/8540649d4237393e9b6ae327ab4aac3992f62bd9/campinas_brazil_temple_lds.jpeg,Campinas Brazil
https://assets.churchofjesuschrist.org/87/05/870578c5fa6f11edb2e2eeeeac1e709e84598271/moses_lake_washington_temple_exterior.jpeg,Moses Lake Washington
https://assets.churchofjesuschrist.org/89/97/8997d67ecc3011eebfd1eeeeac1e4e2f81a7e639/salta_argentina_temple_exterior.jpeg,Salta Argentina
https://assets.churchofjesuschrist.org/8b/3f/8b3f1b895a7c92ee66c2d0c7e78606f75f0d0cc8/durban_south_africa_temple_exterior.png,Durban South Africa
https://assets.churchofjesuschrist.org/8b/a6/8ba6fafeca107ed760a446ef8963dac2cae9045b/st_paul_minnesota_lds_temple.jpeg,St Paul Minnesota Lds
https://assets.churchofjesuschrist.org/8c/9a/8c9a8135ae6962307b0150233443cb45b40673f4/panama_city_temple_lds.jpeg,Panama City
https://assets.churchofjesuschrist.org/8d/03/8d03a863202511eeaf55eeeeac1eaac5f5ab9bd4/okinawa_japan_temple_exterior.jpeg,Okinawa Japan
https://assets.churchofjesuschrist.org/8d/15/8d15af22978011edae44eeeeac1e7b4cc85f1968/prj11278830.jpeg,Prj11278830
https://assets.churchofjesuschrist.org/8f/34/8f34343d84a9cf9dfea0f236749bc391235c86f0/phoenix_arizona_temple.jpeg,Phoenix Arizona
https://assets.churchofjesuschrist.org/8f/3d/8f3d258495ac6e549822785350c3b9afad49c838/hartford_temples_steeples_angel_moroni.jpeg,Hartford Temples Steeples
https://assets.churchofjesuschrist.org/8f/84/8f8452d9b45665c80b7de39de852aeeb75bd0376/madrid_spain_mormon_temple.jpeg,Madrid Spain Mormon
https://assets.churchofjesuschrist.org/92/c3/92c33bcbf9cf85483e008d6871f8ced5f6d7b661/salt_lake_temple_lds.jpeg,Salt Lake
https://assets.churchofjesuschrist.org/95/f3/95f3f3abdd4811ed920ceeeeac1e15db91037802/brasilia_brazil_temple_exterior.jpeg,Brasilia Brazil
https://assets.churchofjesuschrist.org/97/88/978860bab5c311ec9b2deeeeac1efb02ff7625cc/praia_cape_verde_temple.jpeg,Praia Cape Verde
https://assets.churchofjesuschrist.org/9a/ea/9aea1121d343c8f73b2f358a692b33cf9a2db559/temple_exterior_columbus_ohio.jpeg,Temple Exterior Columbus Ohio
https://assets.churchofjesuschrist.org/9b/18/9b1836f5622b5eba399984b40d3f3ccb4e16153b/montevideo_uruguay_temple_lds.jpeg,Montevideo Uruguay
https://assets.churchofjesuschrist.org/9f/29/9f299211386811ee98cbeeeeac1e9190fd45eadc/orem_utah_temple_exterior.jpeg,Orem Utah
https://assets.churchofjesuschrist.org/9f/54/9f541175bcfc11eca77eeeeeac1ea52488fbff2f/yigo_guam_temple.jpeg,Yigo Guam
https://assets.churchofjesuschrist.org/9f/c6/9fc6d53550ed3243fb8eca9ebceb284d4865e7db/san_diego_california_temple.jpeg,San Diego California
https://assets.churchofjesuschrist.org/a1/1f/a11f1cfeae6a22f583be3f8582c5176559db49b3/palmyra_new_york_mormon_temple.jpeg,Palmyra New York Mormon
https://assets.churchofjesuschrist.org/a1/c5/a1c5a3fcce60a5e038e3e8bd3030a998ad227ba6/johannesburg_south_africa_temple_lds.jpeg,Johannesburg South Africa
https://assets.churchofjesuschrist.org/a2/40/a240f8560afb7e6cc22ac7060ced18a371908af8/mesa_temple_reflection.jpeg,Mesa Temple
https://assets.churchofjesuschrist.org/a2/lm/a2lmjqu7dqiy80b1fcw4xulzkllh3tlv797fmeuq/deseret_peak_utah_temple_exterior.jpeg,Deseret Peak Utah
https://assets.churchofjesuschrist.org/a3/96/a3969831f6ee2fb8dd6d29c099d0ff8d1c8a65b8/fort_lauderdale_florida_temple.jpeg,Fort Lauderdale Florida
https://assets.churchofjesuschrist.org/a4/7d/a47d841b88cbe63a7265ae2f0a52300dd1931194/colonia_juarez_chihuahua_mexico_temple.jpeg,Colonia Juarez Chihuahua Mexico
https://assets.churchofjesuschrist.org/a5/5d/a55d546a3b9f11ee8ebbeeeeac1e96e3145733e4/lima_peru_los_olivos_temple_exterior.jpeg,Lima Peru Los Olivos
https://assets.churchofjesuschrist.org/a6/71/a6719d56298f7525658ed573156113c25dd665d7/fresno_temple_lds.jpeg,Fresno
https://assets.churchofjesuschrist.org/a6/86/a68695910157ca975763cf0a7b321d5462b1d1d9/preston_england_temple_lds.jpeg,Preston England
https://assets.churchofjesuschrist.org/ac/8c/ac8c7b36ea0869258fd0b245b03ecaa7f924f644/tijuana_mexico_temple_rendering.jpeg,Tijuana Mexico Temple
https://assets.churchofjesuschrist.org/ad/13/ad136e9292c808a43e65262d436d94291dad09c8/bountiful_temple_lds.jpeg,Bountiful
https://assets.churchofjesuschrist.org/af/73/af738ed0d92670df3b4266f8bb02e7f6ac8f7b35/redlands_california_temple.jpeg,Redlands California
https://assets.churchofjesuschrist.org/b2/85/b28597796300dda1724e1844db40d74790020bf0/guayaquil_ecuador_temple_lds.jpeg,Guayaquil Ecuador
https://assets.churchofjesuschrist.org/b6/be/b6becb4ca0c60a52ad5dc57a90ec69fe5fe7ec63/santiago_chile_lds_temple.jpeg,Santiago Chile Lds
https://assets.churchofjesuschrist.org/b6/e3/b6e3d29eb9947ea11a6c777b53d556ed1b282235/star_valley_wyoming_temple.jpeg,Star Valley Wyoming
https://assets.churchofjesuschrist.org/b8/a1/b8a175b549d4b45a0ac5ab6ad42a9a7ff3f415b0/papeete_tahiti_temple.jpeg,Papeete Tahiti
https://assets.churchofjesuschrist.org/ba/d2/bad230b94fa4067c6c8079849f5f1a82a8d9f927/draper_utah_temple.jpeg,Draper Utah
https://assets.churchofjesuschrist.org/bb/b8/bbb8f94c62bde81e2f21e85937f86627d7fdc43a/toronto_temple_lds.jpeg,Toronto
https://assets.churchofjesuschrist.org/bc/05/bc05b10ffbeffae8227edb28e542cc0bae5c003e/exterior_fortaleza_temple.jpeg,Exterior Fortaleza
https://assets.churchofjesuschrist.org/be/dc/bedc04279226377b6c9f40b97b67964520fcd798/portland_temple_lds.jpeg,Portland
https://assets.churchofjesuschrist.org/bf/22/bf22f02099128746663d6860dfa1309a8709d08c/lubbock_temple_lds.jpeg,Lubbock
https://assets.churchofjesuschrist.org/c1/93/c193af7ec5e811ee9563eeeeac1e53835dd26b3a/casper_wyoming_temple_exteriors.jpeg,Casper Wyoming
https://assets.churchofjesuschrist.org/c2/42/c242078ac8317d9f5b9effc15e3ef032c18ed061/kona_temple_lds.jpeg,Kona
https://assets.churchofjesuschrist.org/c4/84/c484fbc46cec529ca91229983577bef615e512e6/tucson_arizona_temple_exterior.jpeg,Tucson Arizona
